标题,链接,价格,作者,出版时间,评论数,简介
笨办法学Python 3 经典畅销Python入门教程升级版 Python3编程从入门到实践教程 手机扫码看5个小时配套视频 跟着数百万人的Python导师学Python编程入门基础教程 代码基于Python3.6,http://product.dangdang.com/25286312.html,¥40.70,[美]泽德 A. 肖（Zed A. Shaw）,2018/6/1,13538,知乎、CSDN等各大论坛技术大牛推荐的Python自学入门畅销书《笨办法学Python》重磅升级，所有案例均基于Python3.6编写。 免费提供长达5个小时的配套教学视频，用手机扫码在线观看视频，更方便。 Zed A. Shaw创建了一套非常有效的Python 3学习体系，只要跟着学，你就会像Zed教过的数百万初学者一样获得成功！只要你能自律、投入和坚持！ 在本书中，你将通过完成52个精心设计的习题来学会Python语言。阅读这些习题，照着录入代码（不要复制和粘贴！），修正自己的错误，观察程序的运行。在这个过程中，你将学会计算机的工作原理，知道怎样的程序才算是好程序，以及如何读、写和思考代码。作者还提供了5个多小时的视频，教你如何破坏、修正和调试代码，整个过程就像一边做题一边直播一样。一开始会很难，但很快你就会上手，并且会感觉很棒！ 本书适合以下人
Python神经网络编程 人工智能深度学习机器学习领域又一重磅力作 自己动手用Python编写神经网络 美亚排名前茅荣获众多好评 全彩印刷 图表丰富,http://product.dangdang.com/25251315.html,¥47.60,[英]塔里克・拉希德（Tariq Rashid）,2018/4/1,10835,当前，深度学习和人工智能的发展和应用给人们留下了深刻的印象。神经网络是深度学习和人工智能的关键元素，然而，真正了解神经网络工作机制的人少之又少。本书用轻松的笔触，一步一步揭示了神经网络的数学思想，并介绍如何使用Python编程语言开发神经网络。 本书将带领您进行一场妙趣横生却又有条不紊的旅行 从一个非常简单的想法开始，逐步理解神经网络的工作机制。您无需任何超出中学范围的数学知识，并且本书还给出易于理解的微积分简介。本书的目标是让尽可能多的普通读者理解神经网络。读者将学习使用Python开发自己的神经网络，训练它识别手写数字，甚至可以与专业的神经网络相媲美。 本书适合想要了解深度学习、人工智能和神经网络的读者阅读，尤其适合想要通过Python编程进行神经网络开发的读者参考。 这是一本精心编写、给完全初学
Python Cookbook（第3版）中文版 经典Python图书升级版本 Python编程从入门到实践 涵盖Python 3.3 包含大量实用Python编程技巧和Python黑魔法 囊括常见Python编程领域,http://product.dangdang.com/23690527.html,¥74.50,（美）比斯利，（美）琼斯 著，陈舸 译,2015/5/1,10723,如果你在编写Python 3程序时需要帮助，或者想更新老的Python 2代码，本书正是你所需要的。本书包含了大量使用Python 3.3编写并测试过的实用编程技巧。对于那些关注现代工具和惯用技巧的有经验的Python程序员来说，本书无可替代。 本书包含了12个以上的完整主题，其范围涵盖了Python语言的核心以及多个应用领域中的常见任务。每一节中包含的示例代码都可以立刻应用到你自己的项目中去，而每节的讨论部分则告诉你解决方案是如何以及为什么能够工作。 本书主题包括： 数据结构和算法； 字符串和文本； 数字、日期和时间； 迭代器和生成器； 文件和I/O； 数据编码与处理； 函数； 类与对象； 元编程； 模块和包； 网络和Web编程； 并发； 实用脚本和系统管理； 测试、调试以及异常； C语
Python编程（第四版） Python高手进阶宝典，包含大量实用Python编程技巧，涵盖Python编程的方方面面，完全更新到Python 3.x，是Python领域经典的开发指南,http://product.dangdang.com/23617284.html,¥136.60,Mark Lutz,2014/12/1,8713,重磅推荐： Python袖珍指南（第五版） 本书是 Python 应用的手册指南，它涵盖了 Python 编程的方方面面，从系统管理到图形界面编程，从文本处理到网络编程，从数据库到语言扩展 这些主题的探讨中，作者提供了大量的实际代码，通过对这些代码的研读，对读者的 Python 编程水平以及实际业务问题的解决都将不无裨益。
流畅的Python 【图灵程序设计丛书】PSF研究员 知名PyCon演讲者心血之作 全面深入 对Python语言关键特性剖析到位 兼顾Python 3和Python 2,http://product.dangdang.com/25071121.html,¥109.80,[巴西]卢西亚诺・拉马略（Luciano Ramalho）,2017/4/1,7649,流畅的Python 由奋战在Python开发一线近20年的Luciano Ramalho执笔，Victor Stinner、Alex Martelli等Python大咖担纲技术审稿人，从语言设计层面剖析编程细节，兼顾Python 3和Python 2，告诉你Python中不亲自动手实践就无法理解的语言陷阱成因和解决之道，教你写出风格地道的Python代码。 ● Python数据模型：理解为什么特殊方法是对象行为一致的关键。 ● 数据结构：充分利用内置类型，理解Unicode文本和字节二象性。 ● 把函数视作对象：把Python函数视作一等对象，并了解这一点对流行的设计模式的影响。 ● 面向对象习惯用法：通过构建类学习引用、可变性、接口、运算符重载和多重继承。 ● 控制流程：学习使用上下文管理器、生成器、协程，以及通过concurrent.futures和asyncio包实现的并发。 ● 元编程：理解特性、描述符、类装饰器和元类的工作原理。
父与子的编程之旅：与小卡特一起学Python 少儿编程入门书 高中新课标必修编程入门书 中小学编程自学教程 全国青少年信息学奥林匹克竞赛金牌教练曹文作序推荐,http://product.dangdang.com/23598327.html,¥54.50,[?]Warren Sande?Carter Sande ?,2014/10/1,7624,编程是一项充满乐趣的挑战，想要上手也非常容易！这本《父与子的编程之旅：与小卡特一起学Python》中，Warren和Carter父子以亲切的笔调、通俗的语言，透彻全面地介绍了计算机编程世界。他们以简单易学的Python语言为例，通过可爱的漫画、有趣的例子，生动地介绍了变量、循环、输入和输出、数据结构以及图形用户界面等编程的基本概念。只要懂得计算机的基本操作，如启动程序、保存文件，任何人都可以跟随本书，由简入难，学会编写程序，甚至制作游戏。 《父与子的编程之旅：与小卡特一起学Python》内容经过教育专家的评审，经过孩子的亲身检验，并得到了家长的认可。如果你想教孩子学习计算机编程，培养孩子思考问题和解决问题的能力，那就赶快拿起本书，展开亲子学习之旅吧！如果你想自己学习编程，也赶紧拿起本书，探索看似神秘的编程世界
疯狂Python讲义 零基础学Python编程实战，CSDN爆款Python课程官方用书，覆盖爬虫、大数据、并发编程等就业热点，Python求职不再慌,http://product.dangdang.com/25580336.html,¥113.30,李刚,2019/1/1,7539,CSDN销量破万的爆款课程 21天通关Python 官方用书。 上手门槛低，8岁的小朋友Charlie亲验，不但可以看懂书中关于Python语法的基础知识，且写出了自己的小程序。 诱惑十足的增值服务，作者提供用于学习和交流的配套网站及作者亲自在线的答疑微信群、QQ群。 覆盖的知识面广，知识体系完备、系统，再也不用 面向百度 编程。 案例实战性强，涉及大数据展示、网络爬虫、游戏等Python热点应用领域，求职不再难。 110道练习题/面试题与习题答案，编程图书不仅是用来看的，还需要动手操练，知行合一，方为get一门技能的真经。 过万小时线下授课经验锤炼出的大师级讲解能力，将深奥的原理用浅显的比喻表达出来，一学就懂，一看就会。 工信出版集团、电子工业出版社年度双料获奖图书。
DK编程真好玩：9岁开始学Python DK经典少儿编程启蒙书，从图形化编程进阶正式编程语言，通过创编游戏，轻松掌握人工智能时代编程语言Python，锻炼逻辑思维，培养解决问题的能力。教育大V“憨爸在美国”，知名科普作家徐来鼎力推荐。,http://product.dangdang.com/27940162.html,¥93.20,[英]克雷格・斯蒂尔等 著，爱心树童书 出品,2019/10/1,7244,★适合9岁以上孩子，图形化编程语言Scratch之后，进阶学习编程的不二选择 ★附赠知名少儿编程教育机构 西瓜创客 精品Python体验课！ ★使用Python官网原生开发环境，一开始就让孩子接触真实的编程环境 ★有图形化编程基础，孩子就可以自学，步骤拆解详细，操作说明便于理解 ★通过创编游戏的形式学习编程，轻松有趣，充分激发孩子的探索欲 ★书后附所有作品的完整代码和编程基础词汇表，便于小读者查对、参考 ★STEAM 创新教育体系参考读物，让孩子从科技的被动享乐者变成主动创造者！ ★每个人都应该学习编程，因为它教你如何思考。 苹果公司创始人史蒂夫 乔布斯
Python深度学习 人工智能机器学习经典教程 用Python Keras TensorFlow进行深度学习的探索实践 Keras之父 谷歌人工智能研究员执笔 深度学习领域力作,http://product.dangdang.com/25324199.html,¥79.80,[美] 弗朗索瓦・肖莱（Francois Chollet）,2018/8/1,7077,"《Python深度学习》由Keras之父、现任Google人工智能研究员的Franc?ois Chollet执笔，详尽展示了用Python、Keras、TensorFlow进行深度学习的探索实践，涉及计算机视觉、自然语言处理、生成式模型等应用。在学习完本书后，读者将了解深度学习、机器学习和神经网络的关键概念，具备搭建自己的深度学习环境、建立图像识别模型、生成图像和文字等能力，学会解决现实世界中的深度学习问题。除此之外，本书还深刻剖析了当前的""人工智能热""，从理性的视角展望了深度学习在未来的可能性。● 30多个代码示例，带你全面掌握如何用深度学习解决实际问题● Keras框架速成的明智之选● 夯实深度学习基础，在实践中培养对深度神经网络的良好直觉● 无须机器学习经验和高等数学背景""本书在当前的'人工智能热'和深度学习的本来面目之间架起了一座桥梁。""--Peter Rabinovitch，云平台Aka"
基于Python的大数据分析基础及实战 Python3.6基础入门，涵盖数据处理、数据分析、数据可视化、网络爬虫主要应用，采用基础知识+实战案例+拓展与延伸，配套丰富学习资源，附赠案例视频+源代码+源数据文件，教你迅速掌握Python语言,http://product.dangdang.com/25307829.html,¥48.10,余本国,2018/7/1,6988,配套视频教程 手把手教你学Python 提炼避坑心法 简明、高效懂Python 实战案例分析 轻松、快速玩Python 讲解 实践 案例 视频 源代码 源数据 针对Python新手量身定做，入门必备的真爱之选 作者简介：余本国，博士，硕士研究生导师。于中北大学理学系任教，主讲线性代数、微积分、Python语言、大数据分析基础等课程。2012年到加拿大York University做访问学者。出版有《Python数据分析基础》等著作。
精通Python爬虫框架Scrapy python3 scrapy教程 全面剖析网络爬虫技术的实现原理 通过爬取示例演示Scrapy的应用 涵盖从桌面端爬取到移动端爬取 实时爬取在内的所有内容,http://product.dangdang.com/25227022.html,¥46.60,[美]迪米特里奥斯 考奇斯-劳卡斯（Dimitrios Kouzis-Loukas）,2018/2/1,6853,Scrapy是一个开源的Python爬虫框架，可以用来轻松提取从页面数据。Scrapy带有丰富的特性，可通过简单的编码或配置来访问，从而可以节省开发人员数周的开发时间，并高效地提取所需数据。Scrapy有一个高度活跃且迅速增长的社区，而且已经成为黑客、创业者和Web爬取专家的首 选框架。本书讲解了Scrapy的基础知识，讨论了如何从任意源提取数据，如何清理数据，以及如何使用Python和第三方API进行处理，以满足自身需求。本书还讲解了如何将爬取的数据高效地馈入数据库、搜索引擎和流数据处理系统（比如Apache Spark）。在学习完本书后，你将对数据爬取胸有成竹，并将数据应用在自己的应用程序中。本书内容：使用HTML和Xpath提取所需的数据；使用Python编写Scrapy爬虫，并在网络上进行爬取操作；将数据推送到任意数据库、搜搜引擎或分析系统的方法；配置爬虫，使其下载
Python机器学习实践指南 机器学习人工智能深度学习领域参考书 轻松掌握机器学习实战知识 应用高级机器学习方法解决日常问题,http://product.dangdang.com/25066760.html,¥54.50,[美] Alexander T. Combs,2017/4/1,6823,机器学习正在迅速成为数据驱动型世界的一个bi备模块。许多不同的领域，如机器人、医学、零售和出版等，都需要依赖这门技术。通过阅读 Python机器学习实践指南 ，你将学习如何一步步构建真实的机器学习应用程序。 Python机器学习实践指南 以通俗易懂，简洁明了的方式，教你如何使用机器学习来收集、分析并操作大量的数据。通过易于理解的项目，本书讲解如何处理各种类型的数据、如何以及何时应用不同的机器学习技术，包括监督学习和无监督学习。本书中的每个项目都同时提供了教学和实践，你将学习如何使用聚类技术来发现低价的机票，以及如何使用线性回归找到一间便宜的公寓 。 Python机器学习实践指南适合的读者包括了解数据科学的Python程序员、数据科学家、架构师，以及想要构建完整的、基于Python的机器学习系统的人们。 通过阅读Python机器学
Python编程从零基础到项目实战（微课视频版） Python入门图书，出版1年销售超7万册，从Web、数据库编程到人工智能、数据分析、网络爬虫，赠：视频源文件+案例源代码+习题实验答案+函数速查手册,http://product.dangdang.com/25479735.html,¥31.12,刘瑜,2018/10/1,6800,免费赠送： Python配套习题实验答案及分析手册（100页电子书）： 该学习手册不但提供了习题与实验的参考答案，重点在实验里提供了超出书本知识的内容和代码，并提供了学习重点、学习方法、学习拓展方向的分析。 Python内置函数案例演示手册（70页电子书）： 该学习手册把Python3.6.X的自带函数做了系统梳理和介绍，并给出每个函数的代码示范应用案例。（作为初学者，能熟练利用一种编程语言的自带函数，可以方便地解决很多编程问题，这是读者须掌握的基本功之一）。 以上两本电子书获取方式请见图书 前言 中的提示，读者可通过关注公众号或加入学习服务QQ群获取，建议读者购书后申请加入QQ群，不但能获取电子书、源代码、PPT课件等学习资源，更可获得作者专业在线指导，同时与群内学友相互交流学习。 1. 配套视频讲解，手机扫码看视频，手
深度学习入门 基于Python的理论与实现 【图灵程序设计丛书】人工智能经典教程 日本深度学习入门经典畅销书 基于python 3 从零创建一个深度学习模型,http://product.dangdang.com/25307675.html,¥46.60,斋藤康毅,2018/7/1,6781,1.日本深度学习入门经典畅销书，原版上市不足2年印刷已达100 000册。长期位列日亚 人工智能 类图书榜首，众多五星好评。 2.使用Python 3，尽量不依赖外部库或工具，从零创建一个深度学习模型。 3.示例代码清晰，源代码可下载，需要的运行环境非常简单。读者可以一边读书一边执行程序，简单易上手。 4.使用平实的语言，结合直观的插图和具体的例子，将深度学习的原理掰开揉碎讲解，简明易懂。 5.使用计算图介绍复杂的误差反向传播法，非常直观。 6.相比AI圣经 花书 ，本书更合适入门。 对于非AI方向的技术人员，本书将大大降低入门深度学习的门槛；对于在校大学生、研究生，本书不失为学习深度学习的一本好教材；即便是在工作中已经熟练使用框架开发各类深度学习模型的读者，也可以从本书中获得新的体会。 摘自本书译者序
Python学习手册（原书第5版） 零基础学Python3，Python编程从入门到实践，详解利用Python进行数据分析、机器学习、网络爬虫的Python编程语言基础，完整覆盖Python核心技术，助你快速入门并进行项目开发实战,http://product.dangdang.com/25576578.html,¥159.80,[美]马克・卢茨,2018/11/5,5870,适读人群 ：无论你是零基础新手，还是有编程基础的程序员，想快速入门Python并达到可以开发实际项目的水平，本书都会是你的理想选择 。 本书将帮助你使用Python编写出高质量、高效的并且易于与其他语言和工具集成的代码。 本书根据Python专家Mark Lutz的著名培训课程编写而成，是易于掌握和自学的Python教程。 本书每一章都对Python语言的关键内容做单独讲解，并且配有章后习题、编程练习及详尽的解答，还配有大量注释的示例以及图表，便于你学习新的技能并巩固加深自己的理解。 第5版基于3.3版本，同时也适用于Python其他 版本。无论你是编程新手还是其他编程语言的资深开发者，本书都会是你学习Python的理想选择。
Python自然语言处理 Python自然语言处理的权威之作,http://product.dangdang.com/23503127.html,¥70.30,Steven Bird,2014/7/1,5843,Python自然语言处理方面的权威之作 快速了解一些概念及基本工作原理的必读 提供丰富英文语料库和代码，方便练习 从输入法联想提示（predictive text）、email过滤到自动文本汇总、机器翻译，大量的语言相关的技术都离不开自然语言处理的支持，而这本书提供了自然语言处理的入门指南。通过本书，你将学到如何编写能处理大量非结构化文本的Python程序。你可以访问具有丰富标注的、涵盖了语言学各种数据结构的数据集，而且你将学习分析书面文档的内容以及结构的主要算法。 通过大量的例子和练习，本书将帮助你： 从非结构化文本中提取信息，无论是猜测主题还是识别 命名实体 ； 分析文本的语言学结构，包括语法和语义分析； 访问流行的语言学数据集，包括WordNet和treebanks； 整合从语言学到人工智能等多个领域的技术。
Python机器学习基础教程 基于Python3的机器学习入门教程 以机器学习算法实践为重点 使用scikit-learn库从头构建机器学习应用 涵盖模型评估调参方法 交差验证网格搜索 管道概念及文本数据处理方法等内容,http://product.dangdang.com/25232007.html,¥62.40,[德]安德里亚斯・穆勒（Andreas C. Müller）[美]莎拉・吉多（S,2018/1/1,5749,机器学习已成为许多商业应用和研究项目不可或缺的一部分，海量数据使得机器学习的应用范围远超人们想象。本书将向所有对机器学习技术感兴趣的初学者展示，自己动手构建机器学习解决方案并非难事！书中重点讨论机器学习算法的实践而不是背后的数学，全面涵盖在实践中实现机器学习算法的所有重要内容，帮助读者使用Python和scikit-learn库一步一步构建一个有效的机器学习应用。* 机器学习的基本概念及其应用* 常用机器学习算法的优缺点* 机器学习所处理的数据的表示方法，包括重点关注数据的哪些方面* 模型评估和调参的方法* 管道的概念* 处理文本数据的方法，包括文本特有的处理方法* 进一步提高机器学习和数据科学技能的建议
Python从小白到大牛 JetBrains大中华区市场经理赵磊作序!赠送教学课件24章，300个示例源代码，4个完整实战项目，热销教学视频2500分钟（三月有效期），提供实时在线答疑服务，畅销10万册,http://product.dangdang.com/25574315.html,¥79.20,关东升,2018/11/1,5586,本书得到了JetBrains大中华区市场经理赵磊作序推荐!本书不仅提供了理论知识，而且赠送教学课件24章，300个示例源代码，4个完整实战项目，提供实时在线答疑服务，出版至今热销10万册。本书是一本真正的Python百科全书，内容全面涵盖编程入门、语法基础、科学计算、爬虫技术，涵盖300的示例源码。一本立体化教程。赠送学习视频教程：所有购买本书的读者均可获赠约50小时（约25000分钟）的 Python从小白到大牛全集 视频课程： （1）Python从小白到大牛*篇Python基础：352分钟。 （2）Python从小白到大牛第二篇进阶：621分钟。 （3）Python从小白到大牛第三篇高级实用库与框架：664分钟。 （4）Python从小白到大牛第四篇项目实战1 网络爬虫与抓取股票数据：193分钟。 （5）Python从小白到大牛第四篇项目实战2 数据可视化与股票数据分析：79分钟。 （6）Python从小白到大牛第四篇
Python快乐编程基础入门（21世纪高等学校计算机专业实用规划教材） 取材广泛，内容新颖，有很强的理论性、应用性与系统性。,http://product.dangdang.com/27921598.html,¥49.50,千锋教育高教产品研发部,2019/8/1,5581,内容全面、操作步骤清晰直观、实用性强，注重实践环节的同时还注重开阔思维和拓展视野，提升学习者各方面的能力。
Python绝技：运用Python成为顶级黑客 Xcon&神话行动创始人呆神、Keenteam陈良、鹰总cnhawk、知道创宇技术副总裁余弦、长亭科技首席安全研究员杨坤联合推荐！本书将作为“神话――信息安全人才颠覆行动”学员学习用专业书!,http://product.dangdang.com/23839735.html,¥70.30,（美）TJ O,2015/12/1,5503,关于Python的书虽然已有不少，但从安全从业者角度全方位剖析Python的书籍几乎没有，《Python绝技：运用Python成为**黑客》填补了这个的空白：包含了渗透测试、Web分析、网络分析、取证分析以及利用无线设备等方面的Python攻防方法。 无论你是从事安全研究的哪个方向，书中的大量深入浅出的案例分析均可以让你掌握有用的技能，快速上手编写代码，在工作中事半功倍，拓展视野、培养和锻炼自己的黑客思维。
Python算法教程 精通Python基础算法 畅销书Python基础教程作者力作,http://product.dangdang.com/23834026.html,¥66.20,[挪威]赫特兰（Magnus Lie Hetland）,2016/1/1,4970,畅销书Python基础教程(第2版)作者、Python领域大牛又一新力作！知识点清晰，语言简洁。 本书用Python语言来讲解算法的分析和设计，主要关注经典的算法，帮助读者理解基本算法问题和解决问题打下很好的基础。 蕴含大量课后习题和参考资料。
零基础入门学习Python（第2版）-微课视频版 Python 3.7编程轻松入门 小甲鱼畅销图书 实例贯穿全书 30小时视频讲解 轻松学会Python 累计销售13万册,http://product.dangdang.com/27865271.html,¥79.20,小甲鱼,2019/4/27,4941,小甲鱼畅销图书重磅升级，针对Python 3.7，通过生动的实例，让读者在实践中理解概念，在轻松、愉快中学会Python！
Python 黑帽子：黑客与渗透测试编程之道 安全畅销书《Python灰帽子》同作者姊妹篇 知道创宇余弦、腾讯胡珀及Keen、蓝莲花等知名黑客战队联合作序盛赞,http://product.dangdang.com/23754436.html,¥52.80,Justin Seitz（贾斯汀・塞茨） 著，孙松柏 李聪 润秋 译,2015/8/1,4883,适读人群 ：本书适合有一定编程基础的安全爱好者、计算机从业人员阅读，特别是对正在学习计算机安全专业，立志从事计算机安全行业，成为渗透测试人员的人来说，这本书更是不可多得的参考。 当你需要开发强大有效的黑客工具时，Python是绝大多数安全分析人员的上佳之选；当遭遇危及安全的攻击时，编写强大工具的能力不可或缺。本书是Justin Seitz新作，它将向你揭示Python的黑暗面 编写网络嗅探工具、操控数据包、感染虚拟主机、制作隐蔽木马等。此外，本书通过技术探讨和解决富于启发性问题，还向你揭示如何扩展攻击能力和如何编写自己的攻击代码。 使用GitHub创建命令控制型木马 检测沙盒和自动化恶意软件任务，例如键盘记录和截屏 使用创新型的进程控制技术进行Windows权限提升 使用激进式的内存取证技术检索密码哈
